date,population,expression,quote,source
2025-02-05,10,=10,"the 10 high-threat illegal aliens who arrived today are being housed in vacant detention facilities",https://www.defense.gov/News/News-Stories/Article/Article/4055497/first-flight-of-illegal-aliens-arrives-at-guantanamo/
2025-02-07,30,>30,"The Trump administration has moved more than 30 people described as Venezuelan gang members to the U.S. Navy base at Guantánamo Bay",https://www.nytimes.com/2025/02/08/us/politics/guantanamo-bay-migrants.html
2025-02-10,80,>80,"Over the last week, the United States government has sent more than 80 men to Guantánamo Bay",https://www.nytimes.com/2025/02/11/world/americas/luis-castillo-venezuela-migrant-guantanamo-bay-trump.html
2025-02-11,98,=98,"On Thursday the New York Times said 98 men had been sent to the island base by Immigration and Customs Enforcement (Ice) between 4 and 11 February.",https://www.theguardian.com/us-news/2025/feb/14/trump-guantanamo-bay-migrants
2025-02-14,126,=126,"As of Friday, 126 migrants were detained at the naval station, according to a Defense Department official.",https://www.washingtonpost.com/immigration/2025/02/16/trump-guantanamo-migrants-deportations-venezuela/
2025-02-17,150,>150,"The Trump administration is holding more than 150 migrant detainees at Guantánamo Bay.",https://www.cbsnews.com/video/examining-trump-plans-guantanamo-bay/
2025-02-18,170,>170,"As of Tuesday, there were more than 120 of what the administration calls criminal aliens under guard at the detention facility at Guantanamo Bay, according to a U.S. defense official. Approximately 50 other individuals are also being held at the base's migrant facility, which was being readied to hold nonviolent individuals.",https://www.voanews.com/a/more-than-170-migrants-now-detained-at-guantanamo-bay/7979741.html
2025-02-19,178,=178,"There are currently 51 aliens housed at the MOC, and 127 aliens housed at Camp VI.",https://storage.courtlistener.com/recap/gov.uscourts.dcd.277395/gov.uscourts.dcd.277395.14.1.pdf
2025-02-20,0,=0,"The Trump administration on Thursday transferred all of the Venezuelan migrants it had brought to the U.S. military base at Guantánamo Bay, Cuba, suddenly emptying a detention operation that it had just as abruptly started  this month.",https://www.nytimes.com/2025/02/20/us/politics/guantanamo-venezuelans-trump-migrants.html
2025-02-23,0,=0,"TNo new migrants had been sent to the base since the Homeland Security Department cleared it of 178 Venezuelans on Thursday.",https://www.nytimes.com/2025/02/23/us/politics/trump-migrants-guantanamo-bay.html
2025-02-23,15,~15,"The military transported about 15 immigration detainees from Texas to the U.S. base at Guantánamo Bay, Cuba, on Sunday",https://www.nytimes.com/2025/02/23/us/politics/trump-migrants-guantanamo-bay.html
