date,location
2025-01-18,Trump National Golf Club Washington DC
2025-01-24,"Trump International Hotel, Las Vegas"
2025-01-25,Trump National Doral Miami
2025-01-25,"Trump International Hotel, Las Vegas"
2025-01-26,Trump National Doral Miami
2025-01-27,Trump National Doral Miami
2025-02-01,Trump International Golf Club West Palm Beach
2025-02-02,Trump International Golf Club West Palm Beach
2025-02-08,Trump International Golf Club West Palm Beach
2025-02-09,Trump International Golf Club West Palm Beach
2025-02-15,Trump International Golf Club West Palm Beach
2025-02-17,Trump International Golf Club West Palm Beach
2025-02-18,Trump International Golf Club West Palm Beach
2025-02-19,Trump National Doral Miami
2025-03-01,Trump International Golf Club West Palm Beach
2025-03-02,Trump International Golf Club West Palm Beach
2025-03-08,Trump International Golf Club West Palm Beach
2025-03-09,Trump International Golf Club West Palm Beach
2025-03-15,Trump International Golf Club West Palm Beach
2025-03-16,Trump International Golf Club West Palm Beach
2025-03-21,Trump National Golf Club Bedminster
2025-03-22,Trump National Golf Club Bedminster
2025-03-29,Trump International Golf Club West Palm Beach
2025-03-30,Trump International Golf Club West Palm Beach
2025-04-03,Trump National Doral Miami
2025-04-04,Trump International Golf Club West Palm Beach
2025-04-05,Trump National Golf Club Jupiter
2025-04-06,Trump National Golf Club Jupiter
2025-04-12,Trump International Golf Club West Palm Beach
2025-04-13,Trump International Golf Club West Palm Beach
2025-04-19,Trump National Golf Club Washington DC
2025-04-20,Trump National Golf Club Washington DC
2025-04-24,Trump National Golf Club Washington DC
2025-04-26,Trump National Golf Club Bedminster
2025-04-27,Trump National Golf Club Bedminster
2025-05-02,Trump International Golf Club West Palm Beach
2025-05-03,Trump International Golf Club West Palm Beach
2025-05-04,Trump International Golf Club West Palm Beach
2025-05-05,Trump National Golf Club Washington DC
2025-05-10,Trump National Golf Club Washington DC
2025-05-18,Trump National Golf Club Washington DC
2025-05-22,Trump National Golf Club Washington DC
2025-05-23,Trump National Golf Club Bedminster
2025-05-24,Trump National Golf Club Bedminster
2025-05-25,The White House
2025-05-25,Trump National Golf Club Bedminster
2025-05-26,Trump National Golf Club Washington DC
2025-05-26,The White House
2025-05-27,The White House
2025-05-28,The White House
2025-05-29,The Sticks - The White House
2025-05-29,The White House
2025-05-30,The White House
2025-05-31,Trump National Golf Club Washington DC
2025-06-01,Trump National Golf Club Washington DC
2025-06-02,The White House
2025-06-02,The Sticks - The White House
2025-06-03,The White House
2025-06-03,The Sticks - The White House
2025-06-04,The White House
2025-06-05,The White House
2025-06-06,The Sticks - The White House
2025-06-06,The White House
2025-06-06,"The Courses at Andrews, Joint Base Andrews, MD"
2025-06-06,Trump National Golf Club Bedminster
2025-06-07,Trump National Golf Club Bedminster
2025-06-08,Trump National Golf Club Bedminster
2025-06-09,The White House
2025-06-11,The White House
2025-06-12,The White House
2025-06-13,The White House
2025-06-19,The Sticks - The White House
2025-06-20,Trump National Golf Club Bedminster
2025-06-21,Trump National Golf Club Bedminster
2025-06-23,The Sticks - The White House
2025-06-28,Trump National Golf Club Washington DC
2025-06-29,Trump National Golf Club Washington DC
2025-06-30,The Sticks - The White House
2025-07-04,Trump National Golf Club Washington DC
2025-07-04,Trump National Golf Club Bedminster
2025-07-05,Trump National Golf Club Bedminster
2025-07-06,Trump National Golf Club Bedminster
2025-07-07,The Sticks - The White House
2025-07-10,The Sticks - The White House
2025-07-11,The Sticks - The White House
2025-07-12,Trump National Golf Club Bedminster
2025-07-13,The White House
2025-07-14,The Sticks - The White House
2025-07-14,The White House
2025-07-14,"Private Residence of Howard Lutnick, Washington"
2025-07-15,Joint Base Andrews
2025-07-15,Pittsburgh International Airport
2025-07-15,"Carnegie Mellon University, Pittsburgh"
2025-07-15,The White House
2025-07-16,The White House
2025-07-17,The Sticks - The White House
2025-07-17,The White House
2025-07-18,The White House
2025-07-18,The Sticks - The White House
2025-07-19,Trump National Golf Club Washington DC
2025-07-19,The White House
