id,agency_id,name,evidence
OPM-1,OPM,,
OPM-2,OPM,,"['Onboarded on 2025-01-20 as a volunteer SGE', 'This is likely one of the other young DOGE crew like Jordan Wick or Luke Farritor, etc.']"
OPM-3,OPM,Akash Bobba,"['This is the same person as ED-1 because there is a detail document that appears with two diff redacted names', 'Detail to SSA is signed on 2025-02-12', 'See evidence that ED-1 is Akash Bobba']"
OPM-4,OPM,,['Onboarded on 2025-01-24 as a volunteer SGE with the title Expert']
OPM-5,OPM,,"['Onboarded on 2025-01-20 as a provisional appt not to exceed 2025-05-20', 'Senior Advisor to the Director for IT', 'GS-15/10 with pay of $195,200', 'Converted to an excepted appointment on 2025-02-18']"
OPM-6,OPM,,"['Onboarded on 2025-01-24 as a vounteer SGE with a term not to exceed 2025-07-22', 'This is likely one of the other young DOGE crew like Jordan Wick or Luke Farritor, etc.']"
ED-1,Education,Akash Bobba,"['Detail agreement from OPM is signed on 2025-02-12', 'This person appears in a detail from OPM to SSA, but also a detail from SSA back to OPM and Education', 'This is the same person as OPM-3 because there is a detail document that appears with two diff redacted names', 'In a separate document in filing from OPM, Akash Bobba is listed as the only person from OPM and with a start date of 2025-02-03']"
ED-2,Education,Conor Fennessy,"['Onboarded by appointment as a Senior Advisor on 2025-01-31 with a salary of $195K', 'They included a list of DOGE staff at the agency and Conor Fennessy is listed as the only Senior Advisor on staff']"
ED-3,Education,Ethan Shaotran,"['Detail from GSA was signed on 2025-02-12 for a for a SGE position so it is not reimbursed and for a maximum of 135 days from start of SGE term', 'Position at GSA is listed as Software Engineer (Consultant)', 'In a separate document in the release, Ethan Shaotran is listed as being from GSA on 2025-02-03 and Edward Coristine on 2025-02-20', 'IN the case of ED-1, the detail agreement seems to have been signed after the start date; very likely here as well']"
ED-4,Education,Brooks Morgan,"['This is the only consultant in https://storage.courtlistener.com/recap/gov.uscourts.dcd.277216/gov.uscourts.dcd.277216.32.1.pdf', ""Further in doc a table lists one consultant starting on the same date unredacted and it's Brooks Morgan""]"
SSA-1,SSA,,"['Appointed to position as ""Expert"" on 2025-02-10', 'Appointment is as Expert with a salary of $90K', 'Doing analysis of SSA payment data as focus', 'Software engineer with 5 years of experience and some leadership experience', 'Most of the DOGE SGEs mapped to SSA are too young for this (Ed Coristine, Akash Bobba , Ethan Shaotran), but Cole Killian possibly', ""It also would match Gavin Kliger, but he hasn't been linked to SSA""]"
