case_no,name,description,date_filed,status,link
1:25-cv-00429,New Mexico et al v. Musk (D.D.C.),"Fourteen states sued Elon Musk and the Department of Government Efficiency (""DOGE"") alleging that Musk's appointment to his role as head of DOGE violates the Constitution's Appointments Clause",2025-02-13,,https://www.courtlistener.com/docket/69638651/new-mexico-state-of-v-musk/
1:25-cv-00164,Public Citizen Inc et al v. Donald J. Trump and Office of Management and Budget (D.D.C.),Two advocacy organizations and the American Federation of Government Employees sued that DOGE creation violated the Federal Advisory Committee Act,2025-01-20,closed,https://www.courtlistener.com/docket/69559444/public-citizen-inc-v-trump/
1:25-cv-00165,Center for Biological Diversity v. Office of Management and Budget (D.D.C.),"The Center for Biological Diversity sued the Office of Management and Budget under the Freedom of Information Act, demanding records related to communications between OMB and DOGE's leadership or those acting on its behalf.",2025-01-20,,https://www.courtlistener.com/docket/69559509/center-for-biological-diversity-v-office-of-management-and-budget/
1:25-cv-00234,Jane Does 1-2 v. Office of Personnel Management (D.D.C.),Two federal employees brought a class action lawsuit against alleging OPM did not do a required Privacy Impact Assessment when installing the Govenrnment-Wide Email System (GWES),2025-01-27,,https://www.courtlistener.com/docket/69582338/doe-v-office-of-personnel-management/
1:25-cv-00255,Electronic Privacy Information Center v. U.S. Office of Personnel Management (E.D.V.A.),"The Electronic Privacy Information Center (""EPIC"") and a federal employee sued the Office of Personnel Management (""OPM"") and the Treasury Department, challenging the agencies' disclosure of sensitive personal information to Department of Government Efficiency (""DOGE"") employees. The court denied their request to block DOGE's access because the possible scenarios for harm were too speculative.",2025-02-10,,https://www.courtlistener.com/docket/69627950/electronic-privacy-information-center-v-us-office-of-personnel/
1:25-cv-00313,Alliance for Retired Americans v. Scott Bessent et al (D.D.C.),"A group of labor unions representing federal employees sued Secretary of the Treasury Scott Bessent and others alleging that individuals affiliated with the Department of Government Efficiency (""DOGE"") were granted unauthorized access to sensitive Treasury Department records in violation of the Privacy Act and the IRS Code. Both parties agreed to an order limiting access to Treasury payment records to specific individuals with ""read-only"" access.",2025-02-03,,https://www.courtlistener.com/docket/69607077/alliance-for-retired-americans-v-bessent/
1:25-cv-00339,AFL-CIO v. Dep't of Labor (D.D.C.),"A coalition of labor unions sued the Department of Labor (""DOL""), the Department of Government Efficiency (""DOGE""), and others seeking to block DOGE's access to internal DOL information systems on the basis that such access violates the Administrative Procedure Act, the Privacy Act, the Economy Act, and other federal laws. A federal court denied requests to temporarily block DOGE's access while the case proceeds, but indicated further analysis was needed in particular on the Economy Act claims.",2025-02-05,,https://www.courtlistener.com/docket/69613359/american-federation-of-labor-and-congress-of-industrial-organizations-v/
1:25-cv-00347,Government Accountability Project v. Office of Personnel Management (D.D.C.),Lawsuit alleging that OPM attempt to reclassify status of federal employees illegally bypassed Administrative Procedures Act,2025-02-06,,https://www.courtlistener.com/docket/69617919/government-accountability-project-v-united-states-office-of-personnel/
1:25-cv-00352,American Foreign Service Association v. Trump (D.D.C.),"Two unions sued the Trump administration, challenging its efforts to dismantle the United States Agency for International Development (""USAID""). The unions argue that the efforts are unconstitutional, violate federal law, and exceed the scope of agency authority.",2025-02-06,,https://www.courtlistener.com/docket/69619544/american-federation-of-government-employees-v-trump/
1:25-cv-00354,University of California Student Assn. v. Carter et al,"The University of California Student Association sued the Department of Education seeking to block the Department of Government Efficiency's (""DOGE's"") access to sensitive information systems containing student data on the basis that such access violates the Administrative Procedure Act, the Privacy Act, and the Internal Revenue Code. A federal court denied the request to temporarily block DOGE's access while the case proceeds.",2025-02-07,,https://www.courtlistener.com/docket/69620025/university-of-california-student-association-v-carter/
1:25-cv-00380,National Treasury Employees Union v. Russell Vought (D.D.C.),"The National Treasury Employees Union sued Acting Director of the Consumer Financial Protection Bureau (""CFPB"") Russell Vought seeking to block the Department of Government Efficiency's (""DOGE's"") access to sensitive information systems with CFPB employee records on the basis that the CFPB's decision to grant DOGE-affiliated individuals access to employee information and non-classified systems violated the Privacy Act and CFPB regulations.",2025-02-09,,https://www.courtlistener.com/docket/69624412/national-treasury-employees-union-v-vought/
1:25-cv-00381,National Treasury Employees Union v. Russell Vought (D.D.C.),"National Treasury Employees Union, representing employees across 37 federal agencies and departments including the Consumer Financial Protection Bureau (""CFPB""), challenged the Trump Administration's efforts to shut down the CFPB and requested a temporary restraining order against the CFPB and Acting Director Russell Vought. A federal judge ordered the Administration to stop deleting and removing records, terminating employees without cause, or disbursing funds except for operating expenses, while the case proceeds.",2025-02-09,,https://www.courtlistener.com/docket/69624423/national-treasury-employees-union-v-vought/
1:25-cv-00407,"Nemeth-Greenleaf, et al. v. Office of Personnel Management, et al. (D.D.C.)","Federal employees have sued the Office of Personnel Management (""OPM"") and the Treasury, challenging the agencies' disclosure of personal, health, and financial information to the Department of Government Efficiency's (""DOGE"") employees. The plaintiffs argue the disclosure violates federal laws. They have asked the court to stop further disclosure and compensation for harm.",2025-02-11,,https://www.courtlistener.com/docket/69629660/nemeth-greenleaf-v-united-states-office-of-personnel-management/
