detail_id,name
20250312-gsa-usps-alex-simonpour,Alexander Simonpour
mou-20250312-gsa-usps-ethan-shaotran,Ethan Shaotran
20250220-gsa-usadf-ethan-shaotran,Ethan Shaotran
mou-20250219-opm-irs-gavin-kliger,Gavin Kliger
mou-20250415-ssa-doj-koval-rehling,Jon Koval
mou-20250415-ssa-doj-koval-rehling,Payton Rehling
mou-20250206-opm-cfpb-gavin-kliger-nikhil-rajpal-chris-young,Gavin Kliger
mou-20250206-opm-cfpb-gavin-kliger-nikhil-rajpal-chris-young,Nikhil Rajpal
mou-20250206-opm-cfpb-gavin-kliger-nikhil-rajpal-chris-young,Chris Young
mou-20250206-gsa-cfpb-luke-farritor-jeremy-lewin,Luke Farritor
mou-20250206-gsa-cfpb-luke-farritor-jeremy-lewin,Jeremy Lewin
mou-20250221-gsa-hhs-jeremy-lewin,Jeremy Lewin
mou-20250206-doge-cfpb-jordan-wick,Jordan Wick
mou-20250121-doge-hhs-brad-smith,Brad Smith
mou-20250305-dol-hhs-aram-moghaddassi,Aram Moghaddassi
mou-20250220-education-hhs-conor-fennessy,Conor Fennessy
