name,sort_name,slug,age,background
Elon Musk,Musk,elon-musk,,executive
Amy Gleason,Gleason,amy-gleason,53,coder
Daniel Abrahamson,Abrahamson,daniel-abrahamson,41,lawyer
Baris Akis,Akis,baris-akis,,finance
Justin Aimonetti,Aimonetti,justin-aimonetti,31,lawyer
Jacob Altik,Altik,jacob-altik,32,lawyer
Marc Andreessen,Andreessen,mark-andreesen,,executive
Anthony Armstrong,Armstrong,anthony-armstrong,57,finance
Jennifer Balajadia,Balajadia,jennifer-balajadia,36,executive
Sam Beyda,Beyda,sam-beyda,,
Alexandra Beynon,Beynon,alexandra-beynon,36,coder
Riccardo Biasini,Biasini,riccardo-biasini,39,executive
Jared Birchall,Birchall,jared-birchall,,
Brian Bjelde,Bjelde,brian-bjelde,44,executive
Akash Bobba,Bobba,akash-bobba,21,coder
Ashley Boizelle,Boizelle,ashley-boizelle,,lawyer
Emily Bryant,Bryant,emily-bryant,23,
James Burnham,Burnham,james-burnham,41,lawyer
Nate Cavanaugh,Cavanaugh,nate-cavanaugh,28,executive
Miles Collins,Collins,miles-collins,,
George Cooper,Cooper,george-cooper,,
Sam Corcos,Corcos,sam-corcos,36,executive
Edward Coristine,Coristine,edward-coristine,19,coder
Scott Coulter,Coulter,scott-coulter,40,finance
Steve Davis,Davis,steve-davis,45,executive
Stephen Duarte,Duarte,stephen-duarte,32,hr
Leland Dudek,Dudek,leland-dudek,,political
Stephen Ehikian,Ehikian,stephen-ehikian,43,executive
Marko Elez,Elez,marko-elez,25,coder
Charles Ezell,Ezell,charles-ezell,,political
Luke Farritor,Farritor,luke-farritor,23,coder
Conor Fennessy,Fennessy,conor-fennessy,32,finance
Joshua Fox,Fox,joshua-fox,,
Justin Fulcher,Fulcher,justin-fulcher,32,coder
Mattieu Gamache-Asselin,Gamache-Asselin,mattieu-gamache,34,coder
Joe Gebbia,Gebbia,joe-gebbia,43,executive
Derek Geissler,Geissler,derek-geissler,,
Brady Glantz,Glantz,brady-glantz,27,coder
Mike Gonzalez,Gonzalez,mike-gonzale,,
Antonio Gracias,Gracias,antonio-gracias,54,finance
Michael Grimes,Grimes,michael-grimes,,
Gavin Hamrick,Hamrick,gavin-hamrick,,political
Joshua Hanley,Hanley,joshua-hanley,27,lawyer
Christina Hanna,Hanna,christina-hanna,39,hr
Tyler Hassen,Hassen,tyler-hassen,42,executive
Vinay Hiremath,Hiremath,vinay-hiremath,,executive
Adam Hoffman,Hoffman,adam-hoffman,,
Greg Hogan,Hogan,greg-hogan,42,coder
Nicole Hollander,Hollander,nicole-hollander,42,executive
Stephanie Holmes,Holmes,stephanie-holmes,43,hr
Jared Isaacman,Isaacman,jared-isaacman,,executive
Kenneth Jackson,Jackson,kenneth-jackson,,
Anthony Jancso,Jancso,anthony-jancso,,
Raj Jegannathan,Jegannathan,raj-jegannathan,,executive
Erica Jehling,Jehling,erica-jehling,40,executive
Thomas Kiernan,Kiernan,thomas-kiernan,30,coder
Cole Killian,Killian,cole-killian,24,coder
Gavin Kliger,Kliger,gavin-kliger,25,coder
Keenan Kmiec,Kmiec,keenan-kmiec,45,lawyer
Jon Koval,Koval,jon-koval,27,finance
Michael Kratsios,Kratsios,michael-kratsios,,
Tom Krause,Krause,tom-krause,47,executive
Scott Kupor,Kupor,scott-kupor,,executive
Nicholas Lahera,Lahera,nicholas-lahera,,
Sahil Lavingia,Lavingia,shail-lavingia,32,executive
Scott Langmack,Langmack,scott-langmack,66,executive
Jeremy Lewin,Lewin,jeremy-lewin,28,lawyer
Kendall Lindemann,Lindemann,kendall-lindemann,24,executive
Kathryn Armstrong Loving,Loving,kathryn-loving,44,coder
Matt Luby,Luby,matt-luby,,
Shaun Maguire,Maguire,shaun-maguire,,executive
